,name,city,state,Lat,Lng
296,Hop Farm Brewing Company,Pittsburgh, PA,,
297,Liquid Hero Brewery,York, PA,,
298,Matt Brewing Company,Utica, NY,,
299,Boston Beer Company,Boston, MA,,
300,Old Forge Brewing Company,Danville, PA,,
301,Utah Brewers Cooperative,Salt Lake City, UT,,
302,Magic Hat Brewing Company,South Burlington, VT,,
303,Blue Hills Brewery,Canton, MA,,
304,Night Shift Brewing,Everett, MA,,
305,Beach Brewing Company,Virginia Beach, VA,,
306,Payette Brewing Company,Garden City, ID,,
307,Brew Bus Brewing,Tampa, FL,,
308,Sockeye Brewing Company,Boise, ID,,
309,Pine Street Brewery,San Francisco, CA,,
310,Dirty Bucket Brewing Company,Woodinville, WA,,
311,Jackalope Brewing Company,Nashville, TN,,
312,Slanted Rock Brewing Company,Meridian, ID,,
313,Piney River Brewing Company,Bucryus, MO,,
314,Cutters Brewing Company,Avon, IN,,
315,Iron Hill Brewery & Restaurant,Wilmington, DE,,
316,Marshall Wharf Brewing Company,Belfast, ME,,
317,Banner Beer Company,Williamsburg, MA,,
318,Dick's Brewing Company,Centralia, WA,,
319,Claremont Craft Ales,Claremont, CA,,
320,Rivertown Brewing Company,Lockland, OH,,
321,Voodoo Brewery,Meadville, PA,,
322,D.L. Geary Brewing Company,Portland, ME,,
323,Pisgah Brewing Company,Black Mountain, NC,,
324,Neshaminy Creek Brewing Company,Croydon, PA,,
325,Morgan Street Brewery,Saint Louis, MO,,
326,Half Acre Beer Company,Chicago, IL,,
327,The Just Beer Project,Burlington, VT,,
328,The Bronx Brewery,Bronx, NY,,
329,Dead Armadillo Craft Brewing,Tulsa, OK,,
330,Catawba Brewing Company,Morganton, NC,,
331,La Cumbre Brewing Company,Albuquerque, NM,,
332,David's Ale Works,Diamond Springs, CA,,
333,The Traveler Beer Company,Burlington, VT,,
334,Fargo Brewing Company,Fargo, ND,,
335,Big Sky Brewing Company,Missoula, MT,,
336,Nebraska Brewing Company,Papillion, NE,,
337,Uncle John's Fruit House Winery,St. John's, MI,,
338,Wormtown Brewery,Worcester, MA,,
339,Due South Brewing Company,Boynton Beach, FL,,
340,Palisade Brewing Company,Palisade, CO,,
341,KelSo Beer Company,Brooklyn, NY,,
342,Hardywood Park Craft Brewery,Richmond, VA,,
343,Wolf Hills Brewing Company,Abingdon, VA,,
344,Lavery Brewing Company,Erie, PA,,
345,Manzanita Brewing Company,Santee, CA,,
346,Fullsteam Brewery,Durham, NC,,
347,Four Horsemen Brewing Company,South Bend, IN,,
348,Hinterland Brewery,Green Bay, WI,,
349,Central Coast Brewing Company,San Luis Obispo, CA,,
350,Westfield River Brewing Company,Westfield, MA,,
351,Elevator Brewing Company,Columbus, OH,,
352,Aslan Brewing Company,Bellingham, WA,,
353,Kulshan Brewery,Bellingham, WA,,
354,Pikes Peak Brewing Company,Monument, CO,,
355,Manayunk Brewing Company,Philadelphia, PA,,
356,Buckeye Brewing,Cleveland, OH,,
357,Daredevil Brewing Company,Shelbyville, IN,,
358,NoDa Brewing Company,Charlotte, NC,,
359,Aviator Brewing Company,Fuquay-Varina, NC,,
360,Wild Onion Brewing Company,Lake Barrington, IL,,
361,Hilliard's Beer,Seattle, WA,,
362,Mikkeller,Pottstown, PA,,
363,Bohemian Brewery,Midvale, UT,,
364,Great River Brewery,Davenport, IA,,
365,Mustang Brewing Company,Mustang, OK,,
366,Airways Brewing Company,Kent, WA,,
367,21st Amendment Brewery,San Francisco, CA,,
368,Eddyline Brewery & Restaurant,Buena Vista, CO,,
369,Pizza Port Brewing Company,Carlsbad, CA,,
370,Sly Fox Brewing Company,Pottstown, PA,,
371,Spring House Brewing Company,Conestoga, PA,,
372,7venth Sun,Dunedin, FL,,
373,Astoria Brewing Company,Astoria, OR,,
374,Maui Brewing Company,Lahaina, HI,,
375,RoughTail Brewing Company,Midwest City, OK,,
376,Lucette Brewing Company,Menominee, WI,,
377,Bold City Brewery,Jacksonville, FL,,
378,Grey Sail Brewing of Rhode Island,Westerly, RI,,
379,Blue Blood Brewing Company,Lincoln, NE,,
380,Swashbuckler Brewing Company,Manheim, PA,,
381,Blue Mountain Brewery,Afton, VA,,
382,Starr Hill Brewery,Crozet, VA,,
383,Westbrook Brewing Company,Mt. Pleasant, SC,,
384,Shipyard Brewing Company,Portland, ME,,
385,Revolution Brewing,Paonia, CO,,
386,Natian Brewery,Portland, OR,,
387,Alltech's Lexington Brewing Company,Lexington, KY,,
388,Oskar Blues Brewery (North Carol...,Brevard, NC,,
389,Orlison Brewing Company,Airway Heights, WA,,
390,Breckenridge Brewery,Denver, CO,,
391,Santa Fe Brewing Company,Santa Fe, NM,,
392,Miami Brewing Company,Miami, FL,,
393,Schilling & Company,Seattle, WA,,
394,Hops & Grain Brewery,Austin, TX,,
395,White Flame Brewing Company,Hudsonville, MI,,
396,Ruhstaller Beer Company,Sacramento, CA,,
397,Saugatuck Brewing Company,Douglas, MI,,
398,Moab Brewery,Moab, UT,,
399,Macon Beer Company,Macon, GA,,
400,Amnesia Brewing Company,Washougal, WA,,
401,Wolverine State Brewing Company,Ann Arbor, MI,,
402,Red Tank Cider Company,Bend, OR,,
403,Cascadia Ciderworks United,Portland, OR,,
404,Fate Brewing Company,Boulder, CO,,
405,Lazy Monk Brewing,Eau Claire, WI,,
406,Bitter Root Brewing,Hamilton, MT,,
407,10 Barrel Brewing Company,Bend, OR,,
408,Tamarack Brewing Company,Lakeside, MT,,
409,New England Brewing Company,Woodbridge, CT,,
410,Seattle Cider Company,Seattle, WA,,
411,Straight to Ale,Huntsville, AL,,
412,Austin Beerworks,Austin, TX,,
413,Blue Mountain Brewery,Arrington, VA,,
414,Coastal Empire Beer Company,Savannah, GA,,
415,Jack's Hard Cider (Hauser Estate...,Biglerville, PA,,
416,Boulder Beer Company,Boulder, CO,,
417,Coalition Brewing Company,Portland, OR,,
418,Sanitas Brewing Company,Boulder, CO,,
419,Gore Range Brewery,Edwards, CO,,
420,Redstone Meadery,Boulder, CO,,
421,Blue Dog Mead,Eugene, OR,,
422,Hess Brewing Company,San Diego, CA,,
423,Wynkoop Brewing Company,Denver, CO,,
424,Ciderboys,Stevens Point, WI,,
425,Armadillo Ale Works,Denton, TX,,
426,Roanoke Railhouse Brewery,Roanoke, VA,,
427,Schlafly Brewing Company,Saint Louis, MO,,
428,Asher Brewing Company,Boulder, CO,,
429,Lost Rhino Brewing Company,Ashburn, VA,,
430,North Country Brewing Company,Slippery Rock, PA,,
431,Seabright Brewery,Santa Cruz, CA,,
432,French Broad Brewery,Asheville, NC,,
433,Angry Orchard Cider Company,Cincinnati, OH,,
434,Two Roads Brewing Company,Stratford, CT,,
435,Southern Oregon Brewing Company,Medford, OR,,
436,Brooklyn Brewery,Brooklyn, NY,,
437,The Right Brain Brewery,Traverse City, MI,,
438,Kona Brewing Company,Kona, HI,,
439,MillKing It Productions,Royal Oak, MI,,
440,Pateros Creek Brewing Company,Fort Collins, CO,,
441,O'Fallon Brewery,O'Fallon, MO,,
442,Marble Brewery,Albuquerque, NM,,
443,Big Wood Brewery,Vadnais Heights, MN,,
444,Howard Brewing Company,Lenoir, NC,,
445,Downeast Cider House,Leominster, MA,,
446,Swamp Head Brewery,Gainesville, FL,,
447,Mavericks Beer Company,Half Moon Bay, CA,,
448,TailGate Beer,San Diego, CA,,
449,Northwest Brewing Company,Pacific, WA,,
450,Dad & Dude's Breweria,Aurora, CO,,
451,Centennial Beer Company,Edwards, CO,,
452,Denali Brewing Company,Talkeetna, AK,,
453,Deschutes Brewery,Bend, OR,,
454,Sunken City Brewing Company,Hardy, VA,,
455,Lucette Brewing Company,Menominie, WI,,
456,The Black Tooth Brewing Company,Sheridan, WY,,
457,Kenai River Brewing Company,Soldotna, AK,,
458,River North Brewery,Denver, CO,,
459,Fremont Brewing Company,Seattle, WA,,
460,Armstrong Brewing Company,South San Francisco, CA,,
461,AC Golden Brewing Company,Golden, CO,,
462,Big Bend Brewing Company,Alpine, TX,,
463,Good Life Brewing Company,Bend, OR,,
464,Engine 15 Brewing,Jacksonville Beach, FL,,
465,Green Room Brewing,Jacksonville, FL,,
466,Brindle Dog Brewing Company,Tampa Bay, FL,,
467,Peace Tree Brewing Company,Knoxville, IA,,
468,Terrapin Brewing Company,Athens, GA,,
469,Pete's Brewing Company,San Antonio, TX,,
470,Okoboji Brewing Company,Spirit Lake, IA,,
471,Crystal Springs Brewing Company,Boulder, CO,,
472,Engine House 9,Tacoma, WA,,
473,Tonka Beer Company,Minnetonka, MN,,
474,Red Hare Brewing Company,Marietta, GA,,
475,Hangar 24 Craft Brewery,Redlands, CA,,
476,Big Elm Brewing,Sheffield, MA,,
